"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 01 15:43:41 EET 2024","Mon Jan 01 15:43:41 EET 2024","190","","Authentication Functionality","","","","should not log in with an invalid password",""
"passed","Mon Jan 01 15:43:38 EET 2024","Mon Jan 01 15:43:39 EET 2024","835","","Authentication Security","","","","should invalidate session after logout",""
"passed","Mon Jan 01 15:43:42 EET 2024","Mon Jan 01 15:43:42 EET 2024","149","","Authentication Functionality","","","","should require username and password",""
"passed","Mon Jan 01 15:43:36 EET 2024","Mon Jan 01 15:43:38 EET 2024","1161","","Burger Menu Functionality","","","","should display the burger menu",""
"passed","Mon Jan 01 15:43:38 EET 2024","Mon Jan 01 15:43:38 EET 2024","76","","Products Page Functionality","","","","""after all"" hook for Products Page Functionality",""
"passed","Mon Jan 01 15:43:41 EET 2024","Mon Jan 01 15:43:42 EET 2024","170","","Authentication Functionality","","","","should require username",""
"skipped","Mon Jan 01 15:43:38 EET 2024","Mon Jan 01 15:43:38 EET 2024","0","","Authentication Security","","","","should lock the account or require additional authentication after consecutive failed logins",""
"passed","Mon Jan 01 15:43:37 EET 2024","Mon Jan 01 15:43:38 EET 2024","63","","Products Page Functionality","","","","should allow adding a product to the cart",""
"passed","Mon Jan 01 15:43:41 EET 2024","Mon Jan 01 15:43:41 EET 2024","186","","Authentication Functionality","","","","should not log in with an invalid username",""
"passed","Mon Jan 01 15:43:42 EET 2024","Mon Jan 01 15:43:42 EET 2024","34","","Burger Menu Functionality","","","","""after each"" hook for Burger Menu Functionality",""
"passed","Mon Jan 01 15:43:38 EET 2024","Mon Jan 01 15:43:38 EET 2024","453","","Cart and Checkout Functionality","","","","should allow a user to add items to the cart and checkout",""
"passed","Mon Jan 01 15:43:39 EET 2024","Mon Jan 01 15:43:39 EET 2024","478","","Authentication Security","","","","should not accept excessively long input strings",""
"passed","Mon Jan 01 15:43:36 EET 2024","Mon Jan 01 15:43:37 EET 2024","1078","","Products Page Functionality","","","","""before all"" hook for Products Page Functionality",""
"passed","Mon Jan 01 15:43:39 EET 2024","Mon Jan 01 15:43:39 EET 2024","17","","Authentication Security","","","","""before each"" hook for Authentication Security",""
"passed","Mon Jan 01 15:43:36 EET 2024","Mon Jan 01 15:43:37 EET 2024","977","","Authentication Security","","","","should not allow SQL injection",""
"passed","Mon Jan 01 15:43:37 EET 2024","Mon Jan 01 15:43:37 EET 2024","19","","Products Page Functionality","","","","should display a list of products",""
"passed","Mon Jan 01 15:43:42 EET 2024","Mon Jan 01 15:43:42 EET 2024","155","","Authentication Functionality","","","","should require password",""
"passed","Mon Jan 01 15:43:36 EET 2024","Mon Jan 01 15:43:41 EET 2024","4617","","Authentication Functionality","","","","should log in successfully with valid credentials",""
"passed","Mon Jan 01 15:43:38 EET 2024","Mon Jan 01 15:43:38 EET 2024","26","","Authentication Security","","","","should use HTTPS for secure data transmission",""
"passed","Mon Jan 01 15:43:39 EET 2024","Mon Jan 01 15:43:39 EET 2024","176","","Authentication Security","","","","should not display overly descriptive error messages",""
"passed","Mon Jan 01 15:43:39 EET 2024","Mon Jan 01 15:43:39 EET 2024","27","","Authentication Security","","","","""after each"" hook for Authentication Security",""
"passed","Mon Jan 01 15:43:38 EET 2024","Mon Jan 01 15:43:38 EET 2024","57","","Cart and Checkout Functionality","","","","""after all"" hook for Cart and Checkout Functionality",""
"passed","Mon Jan 01 15:43:41 EET 2024","Mon Jan 01 15:43:42 EET 2024","307","","Burger Menu Functionality","","","","""before each"" hook for Burger Menu Functionality",""
"passed","Mon Jan 01 15:43:38 EET 2024","Mon Jan 01 15:43:40 EET 2024","2633","","Burger Menu Functionality","","","","should navigate to about section from the burger menu",""
"passed","Mon Jan 01 15:43:36 EET 2024","Mon Jan 01 15:43:38 EET 2024","1192","","Cart and Checkout Functionality","","","","""before all"" hook for Cart and Checkout Functionality",""
"passed","Mon Jan 01 15:43:42 EET 2024","Mon Jan 01 15:43:42 EET 2024","24","","Authentication Functionality","","","","""after each"" hook for Authentication Functionality",""
"passed","Mon Jan 01 15:43:42 EET 2024","Mon Jan 01 15:43:42 EET 2024","17","","Authentication Functionality","","","","""before each"" hook for Authentication Functionality",""
"passed","Mon Jan 01 15:43:41 EET 2024","Mon Jan 01 15:43:42 EET 2024","857","","Burger Menu Functionality","","","","should log out from the application using the burger menu",""
"passed","Mon Jan 01 15:43:38 EET 2024","Mon Jan 01 15:43:38 EET 2024","66","","Products Page Functionality","","","","should allow removing a product from the cart",""
"passed","Mon Jan 01 15:43:37 EET 2024","Mon Jan 01 15:43:38 EET 2024","307","","Authentication Security","","","","should not be vulnerable to XSS",""
